"user_id","status_id","created_at","screen_name","text","source","display_text_width","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","quote_count","reply_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","quoted_created_at","quoted_source","quoted_favorite_count","quoted_retweet_count","quoted_user_id","quoted_screen_name","quoted_name","quoted_followers_count","quoted_friends_count","quoted_statuses_count","quoted_location","quoted_description","quoted_verified","retweet_status_id","retweet_text","retweet_created_at","retweet_source","retweet_favorite_count","retweet_retweet_count","retweet_user_id","retweet_screen_name","retweet_name","retweet_followers_count","retweet_friends_count","retweet_statuses_count","retweet_location","retweet_description","retweet_verified","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords","status_url","name","location","description","url","protected","followers_count","friends_count","listed_count","statuses_count","favourites_count","account_created_at","verified","profile_url","profile_expanded_url","account_lang","profile_banner_url","profile_background_url","profile_image_url"
"x611651367","x1438614990349471777",2021-09-16 21:25:16,"WilliamsMsLisa","https://t.co/s7cTMoP95n","Twitter for iPhone",23,,,,FALSE,FALSE,0,0,,,,,"smh.com.au/politics/feder…","https://t.co/s7cTMoP95n","https://www.smh.com.au/politics/federal/i-see-no-sign-that-ugly-australia-has-learnt-from-its-treatment-of-gillard-20210916-p58s4s.html?btis",,,,,,,,,,,"und",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/WilliamsMsLisa/status/1438614990349471777","Lisa Williams","","Proud public school educator and advocate. Swans fan, bush walker, ocean lover. All views my own.",,FALSE,101,348,6,928,2620,2012-06-18 10:22:49,FALSE,,,,,"http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/980741025315487744/2T--QhfG_normal.jpg"
"x611651367","x1438278934303412225",2021-09-15 23:09:54,"WilliamsMsLisa","Sign the petition: Show your support https://t.co/iuHGB70QuS via","Twitter for iPhone",64,,,,FALSE,FALSE,0,0,,,,,"morethanthanks.com.au/show_your_supp…","https://t.co/iuHGB70QuS","https://www.morethanthanks.com.au/show_your_support?recruiter_id=2236",,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/WilliamsMsLisa/status/1438278934303412225","Lisa Williams","","Proud public school educator and advocate. Swans fan, bush walker, ocean lover. All views my own.",,FALSE,101,348,6,928,2620,2012-06-18 10:22:49,FALSE,,,,,"http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/980741025315487744/2T--QhfG_normal.jpg"
"x611651367","x1437873429047246848",2021-09-14 20:18:34,"WilliamsMsLisa","I just wrote a letter to @gladysb, @smitchellmlc, @minnschris, @pruecar asking them to oppose One Nation's NSW Ignorance in Education bill. Learn about the bill, and write your own one here, via @equalityAu: https://t.co/tEsFaCgO55","Twitter for iPhone",231,,,,FALSE,FALSE,3,0,,,,,"equalityaustralia.org.au/ignoranceinedu…","https://t.co/tEsFaCgO55","https://equalityaustralia.org.au/ignoranceineducationbill/?source=twitter&",,,,,,,,,"x704882735815401472 x372705076 x2227646515 x49545547 x1055647971948212224","GladysB smitchellmlc MinnsChris pruecar EqualityAu","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/WilliamsMsLisa/status/1437873429047246848","Lisa Williams","","Proud public school educator and advocate. Swans fan, bush walker, ocean lover. All views my own.",,FALSE,101,348,6,928,2620,2012-06-18 10:22:49,FALSE,,,,,"http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/980741025315487744/2T--QhfG_normal.jpg"
"x611651367","x1436649074577461251",2021-09-11 11:13:25,"WilliamsMsLisa","@JennaPrice Beautiful!","Twitter for iPhone",10,"x1436494827110092801","x19019494","JennaPrice",FALSE,FALSE,1,0,,,,,,,,,,,,,,,,"x19019494","JennaPrice","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/WilliamsMsLisa/status/1436649074577461251","Lisa Williams","","Proud public school educator and advocate. Swans fan, bush walker, ocean lover. All views my own.",,FALSE,101,348,6,928,2620,2012-06-18 10:22:49,FALSE,,,,,"http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/980741025315487744/2T--QhfG_normal.jpg"
"x611651367","x1431505991741304832",2021-08-28 06:36:39,"WilliamsMsLisa","@Milliganreports I hear you. And what about when you get the sheets dry!","Twitter for iPhone",55,"x1431498496645877760","x60499296","Milliganreports",FALSE,FALSE,1,0,,,,,,,,,,,,,,,,"x60499296","Milliganreports","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/WilliamsMsLisa/status/1431505991741304832","Lisa Williams","","Proud public school educator and advocate. Swans fan, bush walker, ocean lover. All views my own.",,FALSE,101,348,6,928,2620,2012-06-18 10:22:49,FALSE,,,,,"http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/980741025315487744/2T--QhfG_normal.jpg"
"x611651367","x1429050931274862601",2021-08-21 12:01:07,"WilliamsMsLisa","@Christie_Whelan Believe","Twitter for iPhone",7,"x1428962645470683141","x227225308","Christie_Whelan",FALSE,FALSE,0,0,,,,,,,,,,,,,,,,"x227225308","Christie_Whelan","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/WilliamsMsLisa/status/1429050931274862601","Lisa Williams","","Proud public school educator and advocate. Swans fan, bush walker, ocean lover. All views my own.",,FALSE,101,348,6,928,2620,2012-06-18 10:22:49,FALSE,,,,,"http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/980741025315487744/2T--QhfG_normal.jpg"
"x611651367","x1422522858756968451",2021-08-03 11:40:53,"WilliamsMsLisa","@aliceleung I don’t know any teacher who isn’t feeling exhausted. Emotionally and physically. But we’ll keep making the best of it.’","Twitter for iPhone",120,"x1422467427833503744","x31530480","aliceleung",FALSE,FALSE,2,0,,,,,,,,,,,,,,,,"x31530480","aliceleung","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/WilliamsMsLisa/status/1422522858756968451","Lisa Williams","","Proud public school educator and advocate. Swans fan, bush walker, ocean lover. All views my own.",,FALSE,101,348,6,928,2620,2012-06-18 10:22:49,FALSE,,,,,"http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/980741025315487744/2T--QhfG_normal.jpg"
"x611651367","x1415279256112799749",2021-07-14 11:57:23,"WilliamsMsLisa","@gbearup It’s a Queensland term.","Twitter for iPhone",23,"x1415247450768433160","x598055633","gbearup",FALSE,FALSE,0,0,,,,,,,,,,,,,,,,"x598055633","gbearup","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/WilliamsMsLisa/status/1415279256112799749","Lisa Williams","","Proud public school educator and advocate. Swans fan, bush walker, ocean lover. All views my own.",,FALSE,101,348,6,928,2620,2012-06-18 10:22:49,FALSE,,,,,"http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/980741025315487744/2T--QhfG_normal.jpg"
"x611651367","x1414921464550027274",2021-07-13 12:15:39,"WilliamsMsLisa","‘Worse than useless planning for the teaching workforce’. Yep. https://t.co/DdYpoIXd8z","Twitter for iPhone",62,,,,TRUE,FALSE,2,0,,,,,"twitter.com/JennaPrice/sta…","https://t.co/DdYpoIXd8z","https://twitter.com/JennaPrice/status/1414690031684313089",,,,,,,,,,,"en","x1414690031684313089","Teaching is now part of the gig economy. https://t.co/RdLM2LKKHG",2021-07-12 20:56:01,"Twitter Web App",172,73,"x19019494","JennaPrice","Dr Jenna Price",32972,5982,127133,"Sydney","Journalist. Columnist. @smh @canberratimes Academic. Grandmother of two dragons. #vaxxedtothemax PhD thanks to @ariadnevromen E: jennapricejournalist@gmail.com",TRUE,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/WilliamsMsLisa/status/1414921464550027274","Lisa Williams","","Proud public school educator and advocate. Swans fan, bush walker, ocean lover. All views my own.",,FALSE,101,348,6,928,2620,2012-06-18 10:22:49,FALSE,,,,,"http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/980741025315487744/2T--QhfG_normal.jpg"
"x611651367","x1414557652332417030",2021-07-12 12:10:00,"WilliamsMsLisa","Dr Kerry Chant for PM. Obviously.","Twitter for iPhone",33,,,,FALSE,FALSE,0,0,,,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/WilliamsMsLisa/status/1414557652332417030","Lisa Williams","","Proud public school educator and advocate. Swans fan, bush walker, ocean lover. All views my own.",,FALSE,101,348,6,928,2620,2012-06-18 10:22:49,FALSE,,,,,"http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/980741025315487744/2T--QhfG_normal.jpg"
